Class	Rank	Thes	Engl	Phon	Chinese	Latin	Loglan	Xref	!Word	Lojban	definition (*=obj cpd, +n=1st case merge, -n=2nd case merge, Sn=set members, Pn=pairwise, @=merge but no cpd, ?=special merge, = =as needed)	Comments (c=ch,q=sh,x=zh,#=schwa,i=ee,y=bin,w=ng)
r		3.7.1	base,radix	radyks	-	radyks	saclu*		dyr		$x_1$ IEC the value of (bu) $x_3:$ with radix-1 (xu) $x_2*$	X2 is the highest allowed digit because the radix itself is 10 by definition.
p		3.7.1	rational	raq#nl	-f#n!qu				fqnl		$x_1$ is a rational number	Compound with -dya to give numerator and denominator.
q		3.7.1	integer	yntejer	|j#w!qu				vje		$x_1$ is an integer number	
p		3.7.1	integral	yntegral	|q#/uan|j#w			cme	jyne		$x_1$ IEC the integral of function (xu) $x_2-S3$ over domain (xy) $x_3s$ by its argument (bu) $x_4@$	
r		3.7.1	power,exponent,logarithm,base,e	paur	-piw-fw				piw		$x_1$ IEC base (xu) $x_3?$ to the power of exponent (xu) $x_2$	Logarithm -zu-piw: $x_2 = log_{x_3} x_1$.  -xu-za-piw represents 2.71828, the natural log base, called e.
r		3.7.1	plus,add,sum,minus,subtract,moreover	pl#s	-jia		sumji	gr	plw		$x_1$ IEC the sum of (xu) $x_2:=$ repeated as needed	Subtraction: -zu-plw: $X_2 = X_1 - X_3$; -zm-plw: $X_3 = -X_2 + X_1$. Use -zm-plw for discursive plus or moreover.
p		3.7.1	cosine	kosain	-	-	sinso*		qkoi		$x_1$ IEC the cosine of angle (xu) $x_2$	
p		3.7.1	complex	kampleks	-	-			plem		$x_1$ is a complex number	Compound with -sty to give components.
r		3.7.1	number,count,cardinal	kaunt	!ji!suan	numer.are	konte		sun		(xy) $x_1s$ has the same number of members as (xy) $x_2s:$	-xu -sun !X2 = the number of members in X2.
p		3.7.1	infinity,finite,infinitesimal,small	ynfynyt	/u!sian	ynfyny.tas	cimni*		cfyn		(xy) $x_1s$ has infinitely many members	|pa for aleph index.  -gr-cfyn = infinitesimal, -gl-cfyn = finite.
p		3.7.1	tangent	tanjnt	-		tango*		tany		$x_1$ IEC the tangent of curve (xu) $x_2*$	For the point of tangency use |jir or preferably give an argument to X2.
r		3.7.1	inverse,divide	ynvrs	/dau|dzuan	ynvers.us	brato	dya,kl	vyn		$x_1$ IEC the multiplicative inverse of (xu) $x_2:*$	X2 is typically a number but can be a matrix etc.
p		3.7.1	derivative,rate	rait	|bil!u	-			bril		$x_1$ IEC the derivative of function (xu) $x_2$ by its argument (bu) $x_3@$	
p		3.7.1	sine	sain	-		sinso*		sain		$x_1$ IEC the sine of angle (xu) $x_2*$	
r		3.7.1,1.5.2	frame,reference,vertical,coordinate	vrtykl	/ji!li	rekt.us			vrl		$x_1$ is a reference frame in which event (vo) $x_2+$ is interpreted	Modal case often used with vertical-horizontal properties.  Includes coordinate systems.
t		3.7.2	Points, Lines and Surfaces	-	-	-			372			
p		3.7.2	edge	edj	-bian	margo	bidje	baia	biar		$x_1$ is an edge of polygon $x_2*$	-biar must be 1-D, typically straight, but X2 can have higher dimensions. 
r		3.7.2	measure,kernel	mexr	/cew!du	mensura	spasi	jyne	cme		$x_1$ IEC the measure of set (xy) $x_2s$ using kernel (vo) $x_3$	Typically volume.  A kernel is a function taking an independent variable point in X2 as its second case; it is integrated over X2.
p		3.7.2	polyhedron	palyhidr#n					fpal		$x_1$ is a polyhedron with face count IEC (xu) $x_2:*$	
r		3.7.2	angle	angl	|qie!du	angul.us	jaglo		gln		$x_1$ IEC the angle between line $x_2$ and line $x_3$	Also for dihedrals and higher dimensions.
p		3.7.2	locus	lokus	|guei-ji	lok.us	korva		kuei		$x_1$ is the locus of function (xu) $x_2s*$	X2 is a point set interpreted as a geometric object; typically the range of a 2-D function of a 1-D interval, which is rarely straight.
p		3.7.2	helix	helyks	/luo|quen	helyks	sarlu*	sluo	ksel		$x_1$ is a helix	|syo for axis, |zu -syry for radius, |pa for pitch (distance per angle).
q		3.7.2,1.3.1	straight,line	lain	/jr!sian	lynea	clina	vbn	psa		line $x_1$ is straight	Includes straight objects.  Use |sto !(points) for points it passes through.
p		3.7.2	spiral	spairl	/luo/suan		sarlu*	ksel	sluo		$x_1$ is a spiral	|dyn for center, |pa (or expression) for unwinding rate.
p		3.7.2	number	n#mbr	!qu	numer.us	numcu		qnum		$x_1$ is a number	An equivalence class of equal-count sets.
p		3.7.2	vector,tangent	vektr	-faw!qiaw	kurs.us		qyr	qkur		$x_1$ IEC curve $x_2$ at point $x_3$	The equivalence is being tangent with same arc derivative; this defines a vector.  X1 can be a list of component expressions.
p		3.7.2	vertex,point	point	|jiau	verteks			poin		$x_1$ is a vertex of polygon $x_2*$	Also for polyhedra and higher dimensions.
p		3.7.2	side	said	-bian	lat.us	spali	biar	baia		$x_1$ is a side or boundary polygon of polyhedron $x_2*$	If X2 has N dimensions, X1 has N-1.  Includes polygonal surfaces of physical objects.  -biar is a 1-D -baia.  Use -bie for ``beside'' horizontally.
p		3.7.2	polygon	palygan					zgay		$x_1$ is a polygon with side count IEC (xu) $x_2:*$	|pa for side length(s).
q		3.7.2,1.1.2	point	point	|dian	lok.us	penta	jin,vdr	zdi		$x_1$ is a point of set (xy) $x_2s$	|sya for topology.  Objects with organized geometry (topological spaces) are sets of points, with a topology given.
r		3.7.2,1.1.3,3.7.4	limit	lymyt	!jie!sian	termyn.us	limji		tmy		$x_1$ is a limit point of process (xy) $x_2s*$	X2 is a set or a process.  Any open set containing X1 has points both inside and outside X2.
r		3.7.2,1.4.4	parallel	paralel	/piw/siw	e-regyone	pirle		gyo		$x_1$ is parallel to $x_2:*$	
t		3.7.3	Shapes	-	-	-			373			
p		3.7.3	sphere,ball	bal	/ciou	glob.us	balma		couo		$x_1$ is a sphere	Sphere is hollow.  -xyn -couo for a solid ball.  |dyn for center, |pa or |zu -syry for the radius.
q		3.7.3	flat,surface,plane	srf#s	!mian	superfyky.es	pilno	xbr	fsr		surface $x_1$ is flat or plane	Use |sto for contained points or lines.
p		3.7.3	cube	kiub	!s#-faw-qiw	tesera	kubli*		fqiw		$x_1$ is a cube	|pa for side length.
p		3.7.3	cone	kon	/uen-dzuei	kon.us			kono		$x_1$ is a cone	|pa for the opening angle, |dyn for the apex, |syo for axis.
p		3.7.3	circle,round	syrkl	-ciuan	orb.ys	rande	canu	syry		$x_1$ is a circle of radius (xu) $x_2*$	Also for rings.  Use -xyn -syry for discs.  |dyn for center.  |pa also gives radius.  
p		3.7.3	cylinder,roll,rod,round	sylyndr	/uan	kylyndr.us	rolgu	gvyr	klyl		$x_1$ is a circular cylinder	-klyl is hollow.  Use -xyn -klyl for a solid.  |pa or |zu -syry for radius, |syo for axis.  |fma X for a noncircular shape.
p		3.7.3	loop	lup	-cuen	lakuens	clupa*		plue		$x_1$ is a loop in $x_2$	Between points where X2, a curve or long object, intersects itself.
p		3.7.3	square	skuer	!sz-faw	kuadra	kurfa		skur		$x_1$ is a square	|pa for the side length.
q		3.7.3	symmetry	symetri	!duei!ts#n	kongruentia			sti		$x_1$ is symmetrical	Various restrictions for what kind, axis, etc.
r		3.7.3	axis	aksys	/dzou	aksys	-	dyn	syo		shape $x_1$ has axis $x_2$	Typically an axis of symmetry.  Includes rotation axis of a spherical planet.
p		3.7.3	torus	tor#s	-	tor.us	torsu+	syry	tror		$x_1$ is a torus of minor radius (xu) $x_2*$	|pa or |zu -syry for major radius, |dyn for center, |syo for major axis.
p		3.7.3	wrinkle,crease	rynkl	!jou	ruga	cinje*	fol	vjou		$x_1$ is a wrinkle in surface $x_2$	
r		3.7.3,1.3.6	shape,form	qaip	!iaw.-dz	forma	forma	zia,jrm	fma		$x_1$ is in the same equivalence class on shape as shape $x_2*$ is	-xu-fma !X for ``the form of X''.
r		3.7.3,1.4.2	center,midpoint	sentr	-juw-siyn|dian	medy.us	midju	syry,syo,juw	dyn		$x_1$ is the midpoint of shape $x_2$	Center of symmetry (or mass if no symmetry) of shape of any dimension.
p		3.7.3,4.2.4,3.2.6	bulb,swell	suel	|juw	tum.ere	bulbi	toum	jwuw		$x_1$ is a bulb on stem $x_2$	A swelling at the end of a stem, as in plants or light bulbs.
t		3.7.4	Relations of Logic and Mathematic	-	-	-			374			
r		3.7.4	abstract,concrete	abstrakt	-cou!syaw	oblyv.yo	sucta*	plm	bya		(vo) $x_1+$ is an abstract event of which instances (xe-vo) $x_2@$ are concrete	
r		3.7.4	logic	lajyk	!lun|li/sue	logyka	lodji		kla		$x_1$ is a logic to reason from premise (vo) $x_2@$ to conclusion (vo) $x_3@$	A list of deductions from X2 to X3, each entails next, steps small enough for listener to understand.  |sya for axioms.
p		3.7.4	mathematics,expression	ekspreqn	-	verb.um	cmaci*	qtem	vrer		(bi) $x_1$ is a mathematical expression	An argument (phrase) which can be interpreted as having a numeric value.
r		3.7.4	rule,algorithm,procedure,recipe	resypi	/qr|pu		rulni	gul,fta,jrm	qre		(vo) $x_1@$ is a rule or procedure often useful to achieve result (vo) $x_2+$	
p		3.7.4	mathematics	matematyks	!qu/sue	matematyka	cmaci*	vrer	qtem		(vo) $x_1$ is a mathematical statement	
q		3.7.4,1.2.2	correct,right	korekt	!duei	ver.us	dreti	tso,stw,qkr,ge,qtr,fpe	dve		(vo) $x_1$ is correct	|fta for the standard.  Means X1 is done according to prespecified axioms, procedures, etc.
q		3.7.4,1.2.2	false	fals	-siu|jia	fals.us	falji	qtr,tso	sfa		(vo) $x_1$ is false	|fta for the standard or epistomology by which it is judged.
q		3.7.4,1.2.2	true	tru	-jen	ver.us	tradu	sfa,qkr,dve,ge	qtr		(vo) $x_1$ is true	|fta for the standard or epistomology by which it is judged.
q		3.7.4,1.2.2	exact	eksakt	!jew!cue	eksakt.us	satci*		ska		(vo) $x_1$ is exact	|fta for the standard.
r		3.7.4,1.3.2,4.4.5	pattern	patrn	/muo!iaw	spekymen	morna*	fma,gvr	kym		$x_1$ IEC the pattern in process $x_2$ its property (vo) $x_3+2$	A generalizable regularity of how X3 varies from one part of X2 to another.  Includes non-visual patterns.
r		3.7.4,1.5.2	basis,axiom	basys	-ji|cu	bas.ys	basni	daun	sya		$x_1s$ is a basis of set (xy) $x_2s*$	X2 is a vector space, a topology, or a logical structure (X1 contains axioms).
r		2.3.6,3.7.4	assume	asum	|jia!q#	pon.ere	sruma*	gu,gy	poa		thinker $x_1$ assumes that fact (vo) $x_2$ is true	X2 may or may not be true.
r		3.7.4,2.4.8	calculate,arithmetic,reckon	rekn	!ji!suan	komput.are		stm	kom		actor $x_1$ calculates answer $x_3$ which is IEC value (xu) $x_2$	X2, a math expression, is the problem.  Note reverse order of X3 and X2.
q		3.7.4,3.4.3	fact	fakt	!qr/qr	res	fekto	stw,ge,qtr,dve	qkr		(vo) $x_1$ is a fact	A fact is an event (-qin) which most people think is real (-stw).  They could be wrong.
r		3.7.4,4.4.6	satisfy	satysfai	|jie/da	plak.ere	mansa*		jia		expression $x_1$ satisfies statement or equation (vo) $x_2$ when substituted for its argument (bi) $x_3@$	Makes the statement true.
t		4.0.0	Human Objects and Relations	-	-	-			400			
t		4.1.0	Artifacts	-	-	-			410			
t		4.1.1	Containers	-	-	-			411		$x_1:$ contains content $x_2*$	There are more containers in Cooking and Eating (4.1.2).
p		4.1.1	can	kan	!guan	urke.us			kuan		$x_1$ is a can containing (xo) $x_2:*$	
p		4.1.1	box	baks	/h#.-dz	arka	bakso		kara		$x_1$ is a box containing (xo) $x_2:*$	
p		4.1.1	basket	basket	|dou	corb.ys	banse		scor		$x_1$ is a basket containing (xo) $x_2:*$	
p		4.1.1	package	pakaij	-bau|guo	sarkina	badlo		kaia		$x_1$ is a package containing (xo) $x_2:*$	
p		4.1.1	sack	sak	!dai	sak.us	sakli		saia		$x_1$ is a sack containing (xo) $x_2:*$	
p		4.1.1	bucket	buket	/pen.-dz	sytula	bakto		tuen		$x_1$ is a bucket containing (xo) $x_2:*$	
r		4.1.1	contain,vessel,full	vesl	/ruw!ci	vas	veslo	cul	vel		vessel $x_1$ contains content (xo) $x_2:*$	Not necessarily completely full.
p		4.1.1	drawer	drar	-to!ti		drara		vdra		$x_1$ is a drawer containing (xo) $x_2:*$	
p		4.1.1,4.1.2	bottle	batl	/piw.-dz	lagena	batpi		piwl		$x_1$ is a bottle containing (xo) $x_2:*$	
t		4.1.2	Cooking and Eating	-	-	-			412		$x_1:$ contains content $x_2*$	See also Containers (4.1.1).
p		4.1.2	pan	pan	-guo	patyna	panba		pana		$x_1$ is a pan containing (xo) $x_2:*$	
p		4.1.2	pot	pat	!guan	ola	patpe		guan		$x_1$ is a pot containing (xo) $x_2:*$	
p		4.1.2	dish,plate	dyq	/pan.-dz	patyna	plata		pany		$x_1$ is a plate or dish containing (xo) $x_2:*$	
p		4.1.2	tray	trai	/pan	ferkul.um	trali		fera		$x_1$ is a tray containing or bearing (xo) $x_2:*$	
p		4.1.2	chopstick	copstyk	/kuai.-dz		cinza*		psoy		$x_1$ is a chopstick holding (xo) $x_2:$	Invariably paired, but |cu will normally be omitted.
p		4.1.2	kettle	ketl	|qei/hu	kortyna	ketli		qkei		$x_1$ is a kettle containing (xo) $x_2:*$	A covered pot, usually with a spout.
p		4.1.2	cup	k#p	-bei	pokul.um	kupta		qkul		$x_1$ is a cup containing (xo) $x_2:*$	
p		4.1.2	spoon	spun	/cr.-dz	kokle.are	sputa		spun		$x_1$ is a spoon containing (xo) $x_2:*$	
p		4.1.2	fork	fork	-tsa-dz	furka	forka		kfor		$x_1$ is a fork bearing (xo) $x_2:$	
t		4.1.3	Household Tools	-	-	-			413			
p		4.1.3	parasol,umbrella	parasol	|san	umbela	sanre		sara		$x_1$ is an umbrella or parasol	
p		4.1.3	needle	nidl	-jen	ak.us	nidla		jeni		$x_1$ is a needle	
p		4.1.3	oven	#ven	/lu	furn.us	zavno		gven		$x_1$ is an oven	
p		4.1.3	comb	kom	-qu.-dz	pekten	komcu		qkom		$x_1$ is a comb	
p		4.1.3	scissors	syzrs	|jian.-dz	forfyk.es	cirzo		zryr		$x_1$ is a scissor	Invariably paired, but |cu is normally omitted.
p		4.1.3	brush	bruq	-qua	skopae	brocu		quae		$x_1$ is a brush	
t		4.1.4	Other Household Artifacts	-	-	-			414			
p		4.1.4	curtain	kurten	/lian.-dz	vel.um	kurti		kuel		$x_1$ is a curtain over $x_2:*$	
p		4.1.4	screen	skrin	/piw-few	umbrakul.um	codji+	vdeo,jiwi	kriw		$x_1$ is a screen	Like a room divider.  Use -kriw -zu -gai if the screen covers something, -fcuy -tene for window screen, -za -jiwi for movie screen.
p		4.1.4	sofa	sof#	-qa-fa	lektul.us	sofna		ftul		$x_1$ is a sofa	
p		4.1.4	table	taibl	-juo.-dz	mensa	tobme		jume		$x_1$ is a table	
p		4.1.4	pad,cushion	pad	!dian.-dz	pulvyn.us	padzi		puyn		$x_1$ is a cushion or pad	
p		4.1.4	mat	mat	/si.-dz	storea	matci*		toma		$x_1$ is a mat	
p		4.1.4	chair	cer	|i.-dz	sela	cersi		scer		$x_1$ is a chair	
p		4.1.4	mattress	matres	!ru.-dz		spadi		tere		$x_1$ is a mattress	
p		4.1.4	clock	klok	-jow		jokla		klow		$x_1$ is a clock	
t		4.1.5	Clothes	-	-	-			415		$x_1$ is an item of clothing for wearer $x_2$ covering its body part $x_3-2*$	
p		4.1.5	dress	dres	-i-fu	vest.ys	cadre		drew		$x_1$ is a dress on $x_2:$	
p		4.1.5	pant,trousers,sleeve	pant	|duan!ku		panku		fpan		$x_1$ is a trouser or pant on $x_2:$ its $x_3:-2$	Tubular garment.  Modern pants are joined in pairs, but |cu is usually omitted.  -fpan=brai for arm sleeve.
p		4.1.5	robe,tunic,gown	rob	/pau	vest.ys	pastu*		fpau		$x_1$ is a robe on $x_2:$	A long garment open at the bottom.
p		4.1.5	boot	but	/sie	kalke.us	butpa	psie,qoma	klem		$x_1$ is a boot on $x_2:$ its $x_3:-2$	A thick or durable shoe.
p		4.1.5	lap-lap	lap-lap	-	-	lapla		plal		$x_1$ is a lap-lap on $x_2:$	Clothing wrapped around the waist, in SE Asia and Pacific islands.
p		4.1.5	shoe	qu	/sie	kalke.us	cutci	qoma	psie		$x_1$ is a shoe on $x_2:$ its $x_3:$	
p		4.1.5	coat	kot	!uai-i	toga	kosta		gaio		$x_1$ is a coat on $x_2:$	A long warm garment
p		4.1.5	shirt,blouse	qrt	!cen-qan	tunyka	curtu	csa	qnan		$x_1$ is a shirt on $x_2:$	
p		4.1.5	skirt	skrt	/ci#n.-dz		skara		cnin		$x_1$ is a skirt on $x_2:$	
p		4.1.5	sock	sak	|duan!ua	tybyale	hozda		dana		$x_1$ is a sock on $x_2:$ its $x_3:-2$	Use -dana -gnua for hose-pipe, -fey for hit.
p		4.1.5	hat	hat	!mau.-dz	petas.us	kapma		tama		$x_1$ is a hat on $x_2:$ its $x_3:-2$	
q		4.1.5	garment,clothing	garment	-i-fu	vest.ys	resfu		tfu		$x_1$ is a garment or item of clothing for wearer $x_2$ covering its body part $x_3-2*$	
p		4.1.5	glove	gl#v	|qou!tau	manyk.um	gluva	psie	qoma		$x_1$ is a glove on $x_2:$ its $x_3:-2$	Typically on the hands.
t		4.1.6	Parts of Clothes, and Jewelry	-	-	-			416			
p		4.1.6	pocket	paket	!dai	sakul.us	packe		psai		$x_1$ is a pocket of garment $x_2*$ with content $x_3$	
p		4.1.6	button	butn	!kou		botni		buou		$x_1$ is a button of garment $x_2*$	
p		4.1.6	jewel	juel	-ju|bau	gema	djula		vjue		$x_1$ is a jewel	
p		4.1.6	collar	kalr	-i|liw	monyle	kalra		qnyl		$x_1$ is a collar of garment $x_2*$	
p		4.1.6	brooch	bruc	-siuw-jen	fybula	bruci		xbuw		$x_1$ is a brooch	
t		4.1.7	Cloth	-	-	-			417			
p		4.1.7	canvas	kanvas	-fan!bu	karbas.us	konva	kman	skan		(xo) $x_1$ is some canvas	A coarse cotton cloth.
p		4.1.7	silk,spiderweb	sylk	/cou	seryk.us	colku	jrar	ksyl		(xo) $x_1$ is some silk from creature $x_2$	Includes spider silk.  -xbu -ksyl for silk cloth.
p		4.1.7	wool	u#l	/iaw/mau	lana	lunli		jawu		(xo) $x_1$ is some wool	-xbu -jawu for wool cloth.
t		4.1.8	Assembled Bulk Materials	-	-	-			418			
p		4.1.8	wire	uair	!dian!sian	fil.um	tirca		dair		(xo) $x_1$ is some wire	
p		4.1.8	tape	taip	!dai.-dz	taenya	tapni+		ftai		(xo) $x_1$ is some tape	
p		4.1.8	pipe,tube	paip	-guan	tub.us	tubli		gnua		(xo) $x_1$ is some tube or pipe	
p		4.1.8	cord,rope	rop	/qew.-dz	fun.ys	korce		pqew		(xo) $x_1$ is some cord or rope	
p		4.1.8	sheet,foil	qit	!pian	lamyna	boxla*		pqia		(xo) $x_1$ is a sheet of material (xo) $x_2$	
p		4.1.8	card	kard	|ka!pian	carta	karda		qkar		$x_1$ is a card	A rectangular piece of stiff paper, usually small.
p		4.1.8	chain	cain	|suo!lian	katena	tcena		cnan		(xo) $x_1$ is some chain	
p		4.1.8	net	net	|uaw	rete	netre		tene		$x_1$ is a net	
p		4.1.8,4.1.7	thread	tred	!sian	fil.um	citre		fire		(xo) $x_1$ is some thread	
t		4.2.0	Tools, Machines and Buildings	-	-	-			420			In many of these words X2 is a system or structure that includes X1.
t		4.2.1	Tools and Weapons	-	-	-			421			
p		4.2.1	match	mac	|huo/cai		metca		fcai		$x_1$ is a match or fire starter	
p		4.2.1	hammer	hamr	/cuei.-dz	male.us	mroza		cuem		$x_1$ is a hammer	
p		4.2.1	whip	uyp	-bian.-dz	flagr.um	bitce		fluy		$x_1$ is a whip	
p		4.2.1	pen	pen	|bi	kalam.us	penbi		pene		$x_1$ is a pen	
p		4.2.1	tongs,pincers,pliers	taw	/cian.-dz	forkeps	cinza*		cawo		$x_1$ is a tong or pincer	Invariably paired, but |cu is normally omitted.
p		4.2.1	shovel	q#vl	|can.-dz	pala	cavle		qlal		$x_1$ is a shovel	
p		4.2.1	gun	g#n	-ciaw	-	pantu*		fciw		$x_1$ is a gun firing bullets (xi) $x_2*$ with fuel (xi) $x_3$	
q		4.2.1	weapon	uep#n	|u!ci	tel.um	tarmu		sci		$x_1$ is a weapon	
p		4.2.1	pencil	pensyl	-cian|bi	stil.us	pinsi		stil		$x_1$ is a pencil	
p		4.2.1	bell	bel	/liw	tyntynabul.um	bekli	fsn	tynl		$x_1$ is a bell	
p		4.2.1	plow	plau	/li	aratr.um	plado		plar		$x_1$ is a plow	
p		4.2.1	bomb	bom	!ja!dan		bomba		vbom		$x_1$ is a bomb	
p		4.2.1	bow,arrow	bo	-guw	ark.us	borku		xguw		$x_1$ is a bow with arrows $x_2$	
p		4.2.1,4.1.3	knife	naif	-dau	kulter	najda		fnau		$x_1$ is a knife	
t		4.2.2	Machines and Musical Instruments	-	-	-			422			
q		4.2.2	instrument,musical	musykal	!ue!ci	fyd.es			cfy		$x_1$ is a musical instrument	
p		4.2.2	television	televyx#n	!dian!qr		telvi		dvyn		$x_1$ is a television set	
p		4.2.2	piano	piano	-gaw/cin		plano		fpin		$x_1$ is a piano	
p		4.2.2	pump	p#mp	-ji|tuw	antlya	dampa		tuwy		$x_1$ is a pump for substance (xo) $x_2*$	
p		4.2.2	guitar,violin	gytar	|guan/quen!ue	kitara	jgita*		gyar		$x_1$ is a stringed musical instrument	Use -gyar -fw -xguw for violin.
p		4.2.2	oboe,clarinet,reed	rid	/huaw!ue!ci	kalam.us	xagri*		ciwu		$x_1$ is a reed musical instrument	
p		4.2.2	key	ki	!iau-qr	klav.ys	tocki	klau,bzo	qkia		$x_1$ is a key to lock $x_2$	Not for switches, piano keys, etc., but X2 may be a key-operated switch.
p		4.2.2	computer	kumpiutr	!dian|nau	komput.are	skani*		kmum		$x_1$ is a computer	
p		4.2.2	drum	dr#m	|gu	timpan.um	damri*		dmim		$x_1$ is a drum	Any percussion musical instrument
p		4.2.2	lock	lak	!i|ba!suo	klaustra	sluko	qkia	klau		$x_1$ is a lock on door $x_2*$	
p		4.2.2	telephone	telefon	!dian!hua		telfo		teon		$x_1$ is a telephone in system $x_2*$	
p		4.2.2	flute,pipe,whistle	flut	/di.-dz	tybya	flani*		tywy		$x_1$ is a flute	Musical instrument, sound from Coanda effect.  Includes fixed-wedge whistles.
p		4.2.2	camera	kamera	!jau!siaw-jy		kamra		jiam		$x_1$ is a camera	
p		4.2.2	radio	raidio	-qou-in-ji		radlo		qoio		$x_1$ is a radio for type of signal $x_2*$	
p		4.2.2	trumpet,horn,brass	tr#mpet	|la-ba	tuba			xbam		$x_1$ is a brass-type musical instrument	
t		4.2.3	Transportation Devices and Parts	-	-	-			423			
p		4.2.3	sail	sail	-fan	vel.um	salfa		cfai		$x_1$ is a sail of boat $x_2*$	
p		4.2.3	car,truck	kar	!ci-c#	kar.us	tcaro	stre	fkar		$x_1$ is a car or truck for carrying cargo (xi) $x_2*$	
p		4.2.3	train	train	|huo-c#		trena		cwuo		$x_1$ is a train for carrying cargo (xi) $x_2*$ of system $x_3$	
q		4.2.3	vehicle	vihykl	-c#	vehykul.um	marce*		gvy		$x_1$ is a vehicle for travel on kind of surface (xr) $x_2*$	
p		4.2.3	ski	ski	/hua|que-cau		skizo		qcue		$x_1$ is a ski	
p		4.2.3	cart,trailer	kart	-ce	plaustr.um	karti	fkar	stre		$x_1$ is a cart for carrying cargo (xi) $x_2*$	Moved by a person, animal or separate tractor.  Includes trailers or caravans.
p		4.2.3	boat	bot	/cuan	nav.ys	botsu		cana		$x_1$ is a boat to carry cargo (xi) $x_2*$	
p		4.2.3	rocket	raket	|huo!jian		jakne*		vjia		$x_1$ is a rocket for carrying cargo (xi) $x_2*$	
p		4.2.3	brake	brak	/ja		breko		vbra		$x_1$ is a brake of vehicle $x_2*$	
p		4.2.3	wheel	uil	-c#/lu#n	rota	krilu		glui		$x_1$ is a wheel of vehicle $x_2*$	
p		4.2.3,3.2.6	fin,oar	fyn	/u/qi	pina	rotca		fyni		$x_1$ is an oar of boat $x_2*$	Also fins of fishes.
t		4.2.4	Static Parts of Devices	-	-	-			424			
p		4.2.4	bolt,screw	bolt	/luo-sz-dau	obeks	skori		beol		$x_1$ is a screw or bolt	Use -beol |fmy for a nut.
p		4.2.4	knot	nat	/jie	nod.us	nanda		jino		$x_1$ is a knot in cords (xy) $x_2s*$	
p		4.2.4	around,ring	ryw	-cuan	anul.us	djale	syry,jui	canu		ring $x_1$ goes around mandrel $x_2*$	
r		4.2.4	fasten,connect,attach	fasten	/lien-jie	adfyg.ere	lasna*	tye,cun	fen		$x_1$ attaches part $x_2$ to part $x_3$	A part holding X2 on, not a person putting X2 on.
p		4.2.4	pin	pyn	-jen	ak.us	pinda		fpyn		$x_1$ is a pin	A small fastener, usually sharp.
p		4.2.4	layer,stratum	lair	/ts#n	strat.um	senta*		trar		$x_1$ is a layer of structure $x_2$	
p		4.2.4	blade	blaid	-dao-fow	lamyna	blada		blam		$x_1$ is a blade of tool $x_2*$	
p		4.2.4	nail	nail	-diw	klav.ys	naldi	junu	kliw		$x_1$ is a nail	An inter-fibrous friction fastener.  Use -junu for claw.
p		4.2.4	hook	h#k	-gou	ham.us	gokru		xgou		$x_1$ is a hook	
t		4.2.5	Active Parts of Devices	-	-	-			425			
p		4.2.5	lens	lenz	!tou!jiw	-	lenzo		ftow		$x_1$ is a lens of apparatus $x_2*$	|xgl |pa for the focal length, |pa by itself for the f-number (ratio of focal length to aperture).
p		4.2.5	lever	levr	!gaw|gan	vekt.ys	levka		gvew		$x_1$ is a lever of apparatus $x_2*$	
p		4.2.5	spring	spryw	-fa/tiau	fons	sporu	tsi	spwy		$x_1$ is a spring	Elastic device.
p		4.2.5	projector,screen	projektr	!faw|iw-ji				jiwi		$x_1$ is a projector that puts picture $x_2$ on screen $x_3$	Normally cinema but includes projection TV.
p		4.2.5	monitor,crt,screen,video	vydeo	-		vidni*		vdeo		$x_1$ is a video monitor of system $x_2$	Includes television screen.
p		4.2.5	engine,motor	enjn	-fa!duw-ji	macina	motci		duwi		$x_1$ is a motor or engine of apparatus $x_2*$	
t		4.2.6	Building Materials and Parts	-	-	-			426			
p		4.2.6	frame	fraim	|gu/ge	kompag.es	frama		paim		$x_1$ is a frame or load-bearing part of structure $x_2*$	
p		4.2.6	support,foundation	faundaqn	-ji|cu	fundamenta		sya,baim	daun		foundation $x_1$ supports structure $x_2*$	Includes slabs.  X2 is a house, a machine, etc.
p		4.2.6	rod	rad	!gun	vyrga	kanra	klyl	gvyr		$x_1$ is a rod in structure $x_2*$	
p		4.2.6	column	kalum	!dzu.-dz	kolumna	kamju*		klum		$x_1$ is a column in structure $x_2*$	Vertical loadbearing part.
p		4.2.6	stick	styk	!jaw	bakul.um	stuka		kuaw		$x_1$ is a stick of material $x_2*$	
p		4.2.6	support,pedestal,base,stand	bais	!jia	bas.ys	zbepi*	daun	baim		pedestal $x_1$ supports object $x_2*$	Includes a skinny or folding stand.
p		4.2.6	board	bord	|ban	tabula	barta		baul		$x_1$ is a board of material (xo) $x_2*$	Typically wood.
p		4.2.6	rail	rail	/lan-gan	tign.um	trelu		xgai		$x_1$ is a rail in structure $x_2*$	
p		4.2.6	tile	tail	-juan	tegula	tapla*		xgua		$x_1$ is a tile of material (xo) $x_2*$	Piece is thin and many fit together to cover a surface.
p		4.2.6,3.3.4	brick	bryk	-juan	later	briku	kuai	bryr		$x_1$ is a brick of material (xo) $x_2*$	Typically fired clay.
t		4.2.7	Parts of Houses	-	-	-			427			
p		4.2.7	room	rum	/faw	konklave	kruma		koaw		$x_1$ is a room in house $x_2*$ for activity (vo) $x_3$	
p		4.2.7	window	uyndo	-cuaw	fenestra	cundo		fcuy		$x_1$ is a window in structure $x_2*$	
